serial no. of polling station,location_clean,building_clean,polling areas,Winner_Party,Margin_Percentage
225,Avaniyapuram -625012,"Pt Union Middle School ,South Building, North Facing, left Side, Sankaranaiar Street","1.Madurai (C) Avaniapuram (TP) Ravindiran Street, Parasakthi Nagar Ward 91
2.Madurai (C) Avaniapuram (TP) V.O.C. Street, Parasakthi Nagar Ward 91,
3.Madurai (C) Avaniapuram (TP) Asad Street Ganapathy Nagar Ward 91,
4.Madurai (C) Avaniapuram (TP) Nagammal Street, Ganapthy Nagar Ward 91
5.Madurai (C) Avaniapuram (TP) Om Sakthi Nagar Ward 91 ,",tamilaga vettri kazhagam,18.26771653543307
231,Avaniapuram-625012,"B M S Vidyalaya Matriculation School ,East Building 2std, B Sec Room, Thirupparankundram Road","1.Madurai (C) Avaniapuram (TP) Periyar Nagar 2nd Street Ward 100,
2 - Madurai (C) Avaniyapuram (TP), Byepass Road Ward 100 (S.No.1 to 700)",tamilaga vettri kazhagam,21.23893805309735
234,Avaniyapuram- 625012,"Pt Union Middle School, South side Center building West side
room, Sankaranayar Street","2.Madurai (C) Avaniyapuram (Tp) High School Road Ward 100,
1.Madurai (C) Avaniyapuram (Tp) Marthupandiyar Street Ward 91,",tamilaga vettri kazhagam,29.7029702970297
252,Madurai-625012,"A Sankara Narayana Nadar Matric Hr Sec School, North Old Building LKG - A Sec Class Room Thirupparankundram Road,Avaniyapuram","1.Madurai (C) Avaniapuram (Tp) Maninagaram Ward 100,
2.Madurai (C) Avaniapuram (Tp) Kumarasamy Street Ward 92,
3.Madurai (C) Avaniapuram (Tp) Manthai Street Ward 92,
4.Madurai (C) Avaniapuram (Tp) Sundarrajan Mettu Street Ward 92,
5.Madurai (C) Avaniapuram (Tp) Kalaithevan Lane Ward 92,
6.Madurai (C) Avaniapuram (Tp) Gurusamy Servai Lane Ward 92,
7.Madurai (C) Avaniapuram (Tp) Gopal Chetti Street Ward 92,
8.Madurai (C) Avaniapuram (Tp) Konar Street Ward 92,
9.Madurai (C) Avaniapuram (Tp) Sankaran Chetti Street Ward 92
10.Madurai (C) Avaniyapuram (TP) Purasaradi Road Ward 92 ,",tamilaga vettri kazhagam,22.71662763466042
254,Avaniapuram -625012,"B M S Vidyalaya Matric School, Western Side Middle Portion, Thirupparankundram Road","1.Madurai (C) Avanyapuram (TP) Rakkakkone Lane Ward 92
2.Madurai (C) Avanyapuram (TP) Panchayat Board Colony Highways Ward 92
3.Madurai (C) Avanyapuram (TP) Eswaran Kovil Street Ward 92
4.Madurai (C) Avanyapuram (TP) Sithan Kovil Street Ward 92
5.Madurai (C) Avanyapuram (TP) Kodangi Lane Ward 92
6.Madurai (C) Avaniapuram (TP) Pallar Mettu Street Ward 100,",tamilaga vettri kazhagam,18.6385737439222
257,West Portion Periyasamy Nagar Avaniyapuram-625012,Jegan Nursery & Primary School,"1.Madurai (C) Avaniapuram (Tp) Periyasamy Nagar 1st Street Ward 92,
2.Madurai (C) Avaniapuram (Tp) Periyasamy Nagar 2nd Street Ward 92,
3.Madurai (C) Avaniapuram (Tp) Periyasamy Nagar 3rd Street Ward 92,",tamilaga vettri kazhagam,16.94915254237288
259,Avaniapuram -625012,"Pt Union Middle School ,East Side Building, North Portion, Prasanna Colony","1.Madurai (C) Avaniyapuram (Tp) Periyasamy Nagar 8th Street Ward 92,
2.Madurai (C) Avaniyapuram (Tp) Periyasamy Nagar 9th Street Ward 92,
3.Madurai (C) Avaniyapuram (Tp) Periyasamy Nagar,4th Street Ward 92
4.Madurai (C) Avaniyapuram (TP) Periyasamy Nagar 7th Street Ward 92,",tamilaga vettri kazhagam,19.6652719665272
260,East Portion Periyasamy Nagar Avaniyapuram-625012,Jegan Nursery & Primary School,"1.Madurai (C) Avaniyapuram (Tp) Periyasmy Nagar 12th Street Ward 92
2.Madurai (C) Avaniyapuram (Tp) Periyasamy Nagar Main Street Ward 92
3.Madurai (C) Avaniyapuram (Tp) Periyasamy Nagar 6th Street Ward 92
4.Madurai (C) Avaniyapuram (Tp) Periyasamy Nagar 13th Street Ward 92
5.Madurai (C) Avaniyapuram (Tp) T.P.K.Road.Ward 94
6.Madurai(C) Avaniapuram (TP) Muniyandi Edumpan Street Ward 100,
7.Madurai (C) Avaniapuram (TP) Mookan Edumpan Street Ward 100,
8.Madurai (C) Avaniapuram (TP) Manathan Lane Ward 100",tamilaga vettri kazhagam,18.7799043062201
264,625009,"Pt Union Middle School ,East Side Building, West Portion, North Facing, Chinthamani","1.Madurai (C) Chinna Anuppanadi (R.V) Bharathiyar Street, Anuppanadi Ward 89,
2.Madurai (C) Chinna Anuppanadi (R.V) Thiruvalluvar Street Ward 89,
3.Madurai(C) Chinthamani (R.V) Chinthamanii Main Road Chinna Anuppanadi Ward 89,",tamilaga vettri kazhagam,13.66538952745849
266,Chinthamani Road -625009,"Sengunther Mudaliar Matriculation School ,Room No:1, Om Muruga Nagar, Anuppanadi","1.Madurai (C) Chinna Anuppanadi (R.V) Sonaiah Nagar Ward 88,
2.Madurai (C) Chinthamani (R.V) Ponnu Pillai Thoppu Ward 89 ,",tamilaga vettri kazhagam,13.51689612015019
267,Chinthamani Road -625009,"Sengunther Mudaliar Matriculation School Left Side Room Om Muruga Nagar, Anuppanadi","1.Madurai (C) Chinna Anuppanadi (R.V) Kamarajar Street Ward 88, 2.Madurai(C) Chinthamani (R.V) Anupanadi Cross Road Ward 89, 3.Madurai(C) Chinthamani (R.V) Poombukar Nagar Ward 88
4 - Madurai(C) Chinthamani (R.V), Venopaji Nagar Ward 87",tamilaga vettri kazhagam,31.16490166414523
270,Mela Anuppanadi -625009,"APT Durairaj Nadar Hr Sec School ,Hall No 12, New
Building Housing Board","1 - Madurai (C) Chinna Anuppanadi (R.V), Mela Anuppanadi Housing Board Colony Ward 87
(S.No.1 to 1041)",tamilaga vettri kazhagam,21.70868347338936
275,Mela Anuppanadi -625009,"APT Durairaj Nadar Hr Sec School ,East Building, South Portion, West Housing Board","1.Madurai (C) Chinna Anuppanadi (R.V) Mela Anuppanadi Housing Board Colony Ward 87,",tamilaga vettri kazhagam,25.87209302325581
276,Mela Anuppanadi -625009,"APT Durairaj Nadar Hr Sec School ,East Building, South Portion, Left Side 12 B' Class Room Housing Board","1 - Madurai (C) Chinna Anuppanadi (R.V), Mela Anuppanadi Housing Board Colony Ward 87 (Part No 222 S.No.1042 to 1291), (Part No.224 S.No.1015 to 1264)
2.Madurai (C) Chinna Anuppanadi (R.V) Mela Anuppanadi Housing Board Colony Ward 87",tamilaga vettri kazhagam,28.44444444444444
277,Mela Anuppanadi-625009,"APT Durairaj Nadar Hr Sec School ,Western Side, New
Building Housing Board","1 - Madurai (C) Chinna Anuppanadi (R.V), Mela Anuppanadi Housing Board Colony Ward 87
(S.No.1 to 957)",tamilaga vettri kazhagam,29.8050139275766
281,Mela Anuppanadi-625009,"APT Durairaj Nadar Hr Sec School ,North Building East
Portion, Housing Board","1.1.Madurai (C) Chinna Anuppanadi (R.V) Mela Anuppanadi Housing Board Colony Ward 87,",tamilaga vettri kazhagam,25.4424778761062
282,(Near Anuppanadi Bus Stand)-625009,"Noon Meal Centre ,Chinna Anuppanadi","1.Madurai (C) Chinthamani (R.V) Rajeev Gandhi Nagar Ward 89,
2.Madurai (C) Chinthamani (R.V) M.G.R. Nagar Ward 89,
3.Madurai (C) Chinthamani (R.V) Nehru Nagar Ward 89,
4.Madurai (C) Chinthamani (R.V) Kirubanantha Variyar Nagar Ward 41",tamilaga vettri kazhagam,26.81426814268142
283,Chinthamani-625009,"Pt Union Middle School ,Tiled Shed West Building, South Side, East Facing","1.Madurai(C) Chinthamani (R.V) Indira Colony Ward 89, 2.Madurai(C) Chinthamani (R.V) Chinthamani Main Road Ward 89,
3.Madurai(C) Chinthamani (R.V) Post Office Street Ward 89,",tamilaga vettri kazhagam,25.03293807641634
285,Chinthamani Road -625009,"Sengunther Mudaliar Matriculation School ,Room No:3, Om Muruga Nagar, Anuppanadi","1.Madurai(C) Chinthamani (R.V) Mullai Street Ward 89, 2.Madurai(C) Chinthamani (R.V) Malligai Street Ward 89, 3.Madurai(C) Chinthamani (R.V) Shanmugam Compound Ward 89, 4.Madurai(C) Chinthamani (R.V) J.J. Nagar Ward 87,
5.Madurai(C) Chinthamani (R.V) Anuppanadi Vilakku Road Ward 89",tamilaga vettri kazhagam,12.88209606986899
287,Anganwadi Centre west side new building Chinthamani 625009,Anganwadi Centre west side new building Chinthamani 625009,"1.Madurai(C) Chinthamani (R.V) Chettiyar Street Ward 89, 2.Madurai(C) Chinthamani (R.V) Konar Street Ward 89,
3 - Madurai(C) Chinthamani (R.V), Kalludaiyan Kovil Street Ward 89 (S.No.866 to 1128)",tamilaga vettri kazhagam,21.4123006833713
288,Chinthamani-625009,"Pt Union Middle School ,Tiled Shed Western Building, West Facing","1.Madurai(C) Chinthamani (R.V) Gajendrapuram Ward 89, 2.Madurai(C) Chinthamani (R.V) Nadu Street Ward 89, 3.Madurai(C) Chinthamani (R.V) Chinthamani Main Street Ward 89,
4. Madurai(C) Chinthamani (R.V), Kalludaiyan Kovil Street Ward 89 (S.No.1129 to 1353)",tamilaga vettri kazhagam,23.61623616236162
297,"Eastern Building South portion 2nd
Room Iravthanallur-625009",R C Primary School,"1.Madurai (C) Iravathanallur (R.V) Babu Nagar Ward 41,",tamilaga vettri kazhagam,21.71945701357466
299,Viraganoor -625009,Govt High School East portion,"1.Viraganoor (R.V) Viraganoor (P) Nattamai Thoppu Ward 4,
2.Viraganoor (R.V) Viraganoor (P) Maharaja Nagar Teachers Colony Ward 5,",tamilaga vettri kazhagam,25.2112676056338
300,west portion Viraganoor-625009,"Government High School ,Main Building","1.Viraganoor (R.V) Viraganoor(P) East Street, 2.Viraganoor (R.V) Viraganoor (P) Agraharam Street, 3.Viraganoor (R.V) Viraganoor (P) Ramnad Main road,
4.Viraganoor (R.V) Viraganoor (P) Ramanathapuram Main Road, Ward 4 ,
5.Viraganoor (R.V) Viraganoor (P) Sundarrajapuram Ward 4",tamilaga vettri kazhagam,20.31872509960159
