Location and name of building in which Polling Station located,Total_Booths_In_Locality,Dominant_Party,Dominant_Party_Booths_Won
Muruga Primary School New Building    Puthukudi,1,All India Anna Dravida Munnetra Kazhagam,1
"Muslim High School,    Main Building (East)    Vadakarai kilpadigai.",1,Dravida Munnetra Kazhagam,1
"Muslim High School,   Eastern Building, Northern Portion Vadakaraikilpidagai.",1,Dravida Munnetra Kazhagam,1
"Muslim Primary School,    West New Building South Portion, East Facing Vadakarai Kilpadigai",1,Dravida Munnetra Kazhagam,1
"Muslim Primary School,    West New Building,North Portion, East Facing    Vadakarai kilpidagai",1,Dravida Munnetra Kazhagam,1
"Muslim Primary School,Near Pallivasal South Buidling, North Portion Thirikoodapuram",1,Dravida Munnetra Kazhagam,1
"Muslim Primary School,Near Pallivasal South Buidling, South Portion Thirikoodapuram",1,All India Anna Dravida Munnetra Kazhagam,1
"Muslim Primary School,Near Pallivasal South west Middle Buidling, East Facing, Thirikoodapuram.",1,Dravida Munnetra Kazhagam,1
"Nagoor Meerasa Middle School, Northern Buliding, Achenputhur",1,Dravida Munnetra Kazhagam,1
"Nagoor Meerasa Middle School, Southern Buliding Achanpudur.",1,Dravida Munnetra Kazhagam,1
"Nagoor Meerasa Middle School, Western Buliding, Achanputhur",1,All India Anna Dravida Munnetra Kazhagam,1
"Pachayat Union Anganwadi Centre,   New Building, South Side, West Facing,   Vallam",1,All India Anna Dravida Munnetra Kazhagam,1
Pachayat Union Library Centre Western Portion    Vallam,1,Dravida Munnetra Kazhagam,1
"Pachayat Union Library Centre, Eastern Portion    Vallam",1,All India Anna Dravida Munnetra Kazhagam,1
"Pahchayat Union Building, Manamahil Manram, West Building, East Facing, Boganallur",1,Dravida Munnetra Kazhagam,1
"Panchayat Community Hall, North Portion Kanagasabapathiperi.",1,Dravida Munnetra Kazhagam,1
"Panchayat Community Hall, Old Building, Eastern Portion   Main Road,   Chockampatti",1,All India Anna Dravida Munnetra Kazhagam,1
