Serial No. Of Polling Station,Location and Name of Building in Which Polling Station Located,Polling Areas,Winner_Party,Margin_Percentage
84,"Corporation Middle School, , R.C Shed, Northern Side, Perumal Sannathi Street, Palayamkottai","1.Tirunelveli (C) Palayamkottai Muniyankoil Street, W.No 33 , 2.Tirunelveli (C) Palayamkottai Perumal East Car Street, W.No 33 , 3.Tirunelveli (C) Palayamkottai Krishnan Koil West Street, W.No. 33 , 999.Overseas Electors",Tamilaga Vettri Kazhagam,26.22432859399684
85,"Corporation Middle School, Integrated Childrens Nutrition CentreNo 77, Perumal Sannathi Street, Palayamkottai","1.Tirunelveli (C) Palayamkottai Pandu Rengan Street, W.No. 33 , 2.Tirunelveli
(C) Palayamkottai Paramanai Paduvar Street. W.No 33 , 3.Tirunelveli (P) Palayamkottai Sivan West Car Street, W.No 33 , 4.Tirunelveli (C) Palayamkottai Senpagavanastreet, W.No 33 , 999.Overseas Electors
Page 19 of 78",Tamilaga Vettri Kazhagam,12.21198156682028
88,"Corporation Middle School ,(Front Hall) Western Wing, Perumal Sannathi Street, Palayamkottai","1.Tirunelveli (C) Palayamkottai Krishnan Koil South Street, W.No 33 , 2.Tirunelveli (C) Palayamkottai Krishnan Koil East Street, W.No 33 , 3.Tirunelveli (C) Palayamkottai Krishnan Koil North Street, W.No 33 , 4.Tirunelveli (C) Palayamkottai Manakavalam Pillai Hospital Street, W.No 33 , 5.Tirunelveli (C) Palayamkottai Market Street, W.No 33 , 6.Tirunelveli (C) Palayamkottai Kovalan Street, W.No 33 , 7.Tirunelveli (C) Palayamkottai Emperumal Street W.No. 33 , 999.Overseas Electors",Tamilaga Vettri Kazhagam,22.63565891472868
89,"Corporation Middle School, ,(Front Hall) Eastern Wing, Perumal Sannathi Street,Palayamkottai","1.Tirunelveli (C) Palayamkottai W.No 34 Second Rajakkal Street, , 2.Tirunelveli
(C) Palayamkottai W.No. 34, 6Th Street(Pandia Vellalar Street), , 3.Tirunelveli
(C) Palayamkottai W.No 34 Sivan North Car Street, , 999.Overseas Electors",Tamilaga Vettri Kazhagam,21.12403100775194
90,"Corporation Middle School   ,Perumal Sannathi Street (Front Hall) Middle Portion,, Palayamkottai","1.Tirunelveli (C) Palayamkottai Muthusamy Lane, W.No 33 , 2.Tirunelveli (C) Palayamkottai Sudalaikoil Lane, W.No 33 , 3.Tirunelveli (C) Palayamkottai North Uchimahaliamman Koil Street, W.No 33 ,  4.Tirunelveli (C) Palayamkottai W.No 34 Nellai Nayanar Street, , 5.Tirunelveli (C) Palayamkottai W.No 34Kannaki Street , 999.Overseas Electors",Tamilaga Vettri Kazhagam,16.0075329566855
91,"Usborne Memorial Middle School ,New Building Southern Side, Langarkhana Street Palayamkottai","1.Tirunelveli (C) Palayamkottai Perumal South Mada Veedhi, W.No 35 , 2.Tirunelveli (C)  Palayamkottai Perumal South Car Street, W.No. 35 , 3.Tirunelveli (C) Palayamkottai Thayumanavar Lane, W.No.35 , 4.Tirunelveli (C) Palayamkottai Sadagopan Lane, W.No. 35 , 5.Tirunelveli (C) Palayamkottai Perumal West Mada Veedhi, W.No. 33 , 6.Tirunelveli (C) Palayamkottai Perumal North Mada Street, W.No. 33 , 999.Overseas Electors",Tamilaga Vettri Kazhagam,9.650582362728786
92,"Usborne Memorial Middle School , (Main Building) Lankarkana Street, Palayamkottai","1.Tirunelveli (C) Palayamkottai Perumal West Car Street, W.No 33 , 2.Tirunelveli
(C) Palayamkottai Perumal North Car Street, W.No 33 , 3.Tirunelveli (C) Palayamkottai Nallathambi Street, W.No 33 ,  999.Overseas Electors",Tamilaga Vettri Kazhagam,18.05157593123209
97,"Manoranjitham Middle School, Northern Block Eastern Side Ilangovadigal Street, Kokkirakulam","1.Tirunelveli (C) Kokkirakulam Guru Munivar Street, Ward No. 10 , 2.Tirunelveli (C) Kokirakulam Ilangovadigal Street, Ward No 10 , 3.Tirunelveli
(C) Kokkirakulam Ilampuvana Street, Ward No 10 , 4.Tirunelveli (C) Kokkirakulam Vasanth Nagar(Jeyalalitha Nagar) Ward 10 999.Overseas Electors",Tamilaga Vettri Kazhagam,15.16129032258064
98,"Manoranjitham Middle School, Western Block Western Side Ilangovadigal Street, Kokkirakulam","1.Tirunelveli (C) Kokirakulam Nachinikiniyar Street, Ward No 10 , 2.Tirunelveli
(C) Kokkirakulam Kavi Kamber Street, Ward No 10 , 3.Tirunelveli (C) Kokirakulam Katcheri Compound Street, Ward No 10 , 4.Tirunelveli (C) Kokirakulam Thirumangai Mannan Street, Ward No 10 , 5.Tirunelveli (C) Kokkirakulam Thiruvalluvar Street, Ward No. 10 , 6.Tirunelveli (C) Kokkirakulam Adiyarkku Nallar Street, Ward No 10 , 7.Tirunelveli (C) Kokkirakulam Perasiriyar Street, Ward No 10, 8.Tirunelveli (C) Kokirakulam Salai Street Ward No 10 , 999.Overseas Electors
Page 23 of 78",Tamilaga Vettri Kazhagam,11.87384044526902
100,"Stella Marys School, (National Creche Ministry of Women & Child Development), Kokkirakulam","1.Tirunelveli (C) Kokkirakulam Selva Vinayagar Koil Street, Ward No 31 , 2.Tirunelveli (C) Kokkirakulam Kannappa Nayanar Street, Ward 31, 3.Tirunelveli (C) Kokkirakulam Sivan West Street, Ward 31 , 4.Tirunelveli (C) Kokkirakulam Sivan North Street, Ward 31 , 5.Tirunelveli (C) Kokkirakulam Nethaji Road, Ward 31 , , 999.Overseas Electors",Tamilaga Vettri Kazhagam,16.63974151857835
