Polling_Station_No,location_clean,Dominant_Party_In_Booth,Dominant_Party_Votes,Margin_Of_Victory
90,Chennai - 99,tamilaga vettri kazhagam,245,42
91,Chennai - 99,tamilaga vettri kazhagam,315,86
92,Room 5,tamilaga vettri kazhagam,292,78
93,Chennai - 99,tamilaga vettri kazhagam,275,90
94,Chennai - 99,tamilaga vettri kazhagam,368,75
95,Room 8,tamilaga vettri kazhagam,266,74
96,Chennai - 99,tamilaga vettri kazhagam,252,65
97,Chennai - 99,tamilaga vettri kazhagam,267,63
98,Room 11,tamilaga vettri kazhagam,278,103
99,Chennai - 99,tamilaga vettri kazhagam,267,85
100,Chennai - 99,tamilaga vettri kazhagam,362,104
101,Chennai - 99,dravida munnetra kazhagam,328,21
102,Chennai - 99,tamilaga vettri kazhagam,369,106
103,Chennai - 99,tamilaga vettri kazhagam,324,93
104,Room 17,tamilaga vettri kazhagam,279,92
105,Chennai - 99,tamilaga vettri kazhagam,307,130
106,Chennai - 99,tamilaga vettri kazhagam,390,137
107,Chennai - 99,tamilaga vettri kazhagam,235,19
108,Room 21,tamilaga vettri kazhagam,196,37
109,Ch-82,tamilaga vettri kazhagam,215,10
110,Ch-82,tamilaga vettri kazhagam,213,10
111,Ch-82,tamilaga vettri kazhagam,330,114
112,Room 2,tamilaga vettri kazhagam,390,134
113,Room 3,tamilaga vettri kazhagam,385,180
114,Ch-82,tamilaga vettri kazhagam,242,4
115,Ch-82,tamilaga vettri kazhagam,322,49
116,Chennai-99,dravida munnetra kazhagam,257,11
117,Chennai-99,tamilaga vettri kazhagam,209,24
118,Chennai-99,tamilaga vettri kazhagam,275,34
119,Ch-82,tamilaga vettri kazhagam,283,124
120,Ch-82,tamilaga vettri kazhagam,320,18
121,Ch-82,tamilaga vettri kazhagam,266,36
122,Ch-82,tamilaga vettri kazhagam,243,106
123,Chennai-82,tamilaga vettri kazhagam,279,59
124,Chennai-82,tamilaga vettri kazhagam,291,52
125,Chennai-82,tamilaga vettri kazhagam,283,106
