Location and Name of Building in Which Polling Station Located,Total_Booths_In_Locality,Dominant_Party,Dominant_Party_Booths_Won
MUNICIPALITY MIDDLE SCHOOL SOUTH PORTION AMBASAMUDRAM,1,All India Anna Dravida Munnetra Kazhagam,1
"MUNICIPALITY MIDDLE SCHOOL, CONCRETE BUILDING
,WESTERN CONCRETE BUILDING, AMBASAMUDRAM",1,All India Anna Dravida Munnetra Kazhagam,1
"MUNICIPALITY MIDDLE SCHOOL, MIDDLE PORTION, CENTRAL BUILDING, AMBASAMUDRAM",1,All India Anna Dravida Munnetra Kazhagam,1
"MUNICIPALITY PRIMARY SCHOOL EASTE SIDE NORTHERN PORTION, KOVILKULAM",1,All India Anna Dravida Munnetra Kazhagam,1
"MUNICIPALITY PRIMARY SCHOOL, EAST SIDE SOUTHERN PORTION, , KOVILKULAM",1,All India Anna Dravida Munnetra Kazhagam,1
"MURUGADASA PRIMARY SCHOOL, EAST BLOCK, KEELA ERMALPURAM",1,All India Anna Dravida Munnetra Kazhagam,1
"MURUGADASA PRIMARY SCHOOL, WESTERN PORTION KEELA ERMALPURAM",1,All India Anna Dravida Munnetra Kazhagam,1
"MUSLIM COMMITTEE HIGH SCHOOL, NORTHERN BUILDING (East Side), CHERANMAHADEVI",1,Tamilaga Vettri Kazhagam,1
"MUSLIM COMMITTEE HIGH SCHOOL, NORTHERN BUILDING (West Side), CHERANMAHADEVI",1,Indian National Congress,1
"MUSLIM COMMITTEE HIGH SCHOOL, NORTHERN BUILDING, CENTER SIDE, CHERANMAHADEVI",1,Indian National Congress,1
"MUSLIM COMMITTEE HIGH SCHOOL, SOUTHERN BUILDING, EASTERN SIDE, CHERANMAHADEVI",1,Indian National Congress,1
"NADAR UNION MIDDLE SCHOOL, NEW WESTERN BUILDING, , MUDALIARPATTI VICKRAMASINGAPURAM - 2",1,Tamilaga Vettri Kazhagam,1
"NADAR UNION MIDDLE SCHOOL, NEW WESTERN BUILDING, CENTRE PORTION, MUDALIARPATTI VICKRAMASINGAPURAM",1,Indian National Congress,1
"NADAR UNION MIDDLE SCHOOL, NEW WESTERN BUILDING, WESTERN PORTION, FACING SOUTH, MUDALIARPATTI VICKRAMASINGAPURAM - 2",1,Tamilaga Vettri Kazhagam,1
"NADAR UNION MIDDLE SCHOOL, WESTERN BUILDING, EASTERN PORTION,MUDALIARPATTI
VICKRAMASINGAPURAM",1,All India Anna Dravida Munnetra Kazhagam,1
"P.L.W.A HR.SEC.SCHOOL , NORTHERN PORTION ROOM.NO.4 SOUTHERN BUILDING VICKRAMASINGAPURAM",1,Tamilaga Vettri Kazhagam,1
"P.L.W.A HR.SEC.SCHOOL, ROOM.NO.7 SOUTHERN BUILDING VICKRAMASINGAPURAM",1,Tamilaga Vettri Kazhagam,1
"P.L.W.A HR.SEC.SCHOOL, ROOM.NO.8 SOUTHERN BUILDING VICKRAMASINGAPURAM",1,Tamilaga Vettri Kazhagam,1
"P.L.W.A HR.SEC.SCHOOL, SOUTHERN BUILDING ROOM.NO.12 VICKRAMASINGAPURAM",1,Tamilaga Vettri Kazhagam,1
"P.L.W.A PRIMARY SCHOOL, EASTERN BUILDING (MIDDLE PORTION) VICKRAMASINGAPURM",1,All India Anna Dravida Munnetra Kazhagam,1
"P.L.W.A PRIMARY SCHOOL, NORTHERN BUILDING, MIDDLE PORTION VICKRAMASINGAPURM",1,Tamilaga Vettri Kazhagam,1
"P.L.W.A PRIMARY SCHOOL, NORTHERN BUILDING, WEST PORTION (HALL NO.5), VICKRAMASINGAPURAM - 1",1,All India Anna Dravida Munnetra Kazhagam,1
"P.L.W.A PRIMARY SCHOOL, NORTHERN BUILDING. EASTERN PORTION, VICKRAMASINGAPURAM - 1",1,Tamilaga Vettri Kazhagam,1
"P.L.W.A PRIMARY SCHOOL, SOUTHERN BUILDING EASTERN PORTION, VICKRAMASINGAPURAM",1,Tamilaga Vettri Kazhagam,1
"P.L.W.A PRIMARY SCHOOL, SOUTHERN BUILDING WESTERN PORTION, VICKRAMASINGAPURAM",1,Indian National Congress,1
"PANCHAYAT COMMUNITY HALL, EASTERN PORTION BRAMADESAM",1,Indian National Congress,1
"PANCHAYAT UNION MIDDLE SCHOOL, CENTRAL BUILDING SOUTH PORTION KUNIYUR",1,All India Anna Dravida Munnetra Kazhagam,1
"PANCHAYAT UNION MIDDLE SCHOOL, CENTRAL PORTION, KUNIYUR",1,Indian National Congress,1
"PANCHAYAT UNION MIDDLE SCHOOL, EASTERN BUILDING, MANNARKOVIL",1,All India Anna Dravida Munnetra Kazhagam,1
"PANCHAYAT UNION MIDDLE SCHOOL, NEW BUILDING SOUTHERN, LOWER DAM, PAPANASAM",1,Indian National Congress,1
"PANCHAYAT UNION MIDDLE SCHOOL, NORTHERN
PORTION, KUNIYUR",1,All India Anna Dravida Munnetra Kazhagam,1
"PANCHAYAT UNION MIDDLE SCHOOL, SELF SUFFICIENCY SCHEME, KUMARAKOIL EAST CAR STREET KALLIDAIKURICHI",1,Tamilaga Vettri Kazhagam,1
