Serial No. Of Polling Station,Location and Name of Building in Which Polling Station Located,Polling Areas,Winner_Party,Runner_Up_Party,Margin_Of_Victory,Margin_Percentage
195,"PANCHAYAT UNION PRIMARY SCHOOL, NORTHERN BUILDING SOUTH SIDE NESAVALLER COLONY THERKKU KALLIDAIKURICHI","1 - Therkku Veravanallur (R.V), Moolachi (P), Block No 7 Nesavallar Colony",All India Anna Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,15,2.840909090909091
196,"PUNCHAYAT UNION PRIMARY SCHOOL, SOUTH PORTION POTTAL THERKKU KALLIDAIKURICHI","1 - Therkku Kallidaikurichi (R.V),Pottal (P), Block No 1 Keelapottal North Street",Indian National Congress,All India Anna Dravida Munnetra Kazhagam,6,0.9009009009009009
197,"PUNCHAYAT UNION PRIMARY SCHOOL, SOUTH WESTERN PORTION, POTTAL THERKKU KALLIDAIKURICHI","1 - Therkku Kallidaikurichi (R.V), Pottal (P), Block No 2 Keela Street",All India Anna Dravida Munnetra Kazhagam,Indian National Congress,18,3.092783505154639
198,"PANCHAYAT UNION PRIMARY SCHOOL, NEW BUILDING POTTAL, THERKKU KALLIDAIKURCHI","1 - Therkku Kallidaikurichi (R.V), Pottal (P), Block No 3 Melapottal",All India Anna Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,25,3.753753753753754
201,"ST.JOHNS PRIMARY SCHOOL, NEW BUILDING, EASTERN PORTION, VELLANGULI","1 - Vellankuli (R.V), Vellankuli (P), Block No 1 Vellankuli",All India Anna Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,10,2.347417840375587
203,"ST.JOHNS PRIMARY SCHOOL, NEW BUILDING, WESTERN PORTION, VELLANGULI","1 - Vellankuli (R.V)Vellankuli (P), Block No 10",Tamilaga Vettri Kazhagam,Indian National Congress,22,3.374233128834356
205,"GOVT.HR.SEC. SCHOOL, SOUTH BUILDING, ( SOUTH FACING) VELLANGULI","1 - Vellankuli (R.V),Vellankuli (P), Block No 6",Tamilaga Vettri Kazhagam,All India Anna Dravida Munnetra Kazhagam,12,1.485148514851485
206,"VIVEKANANTHA PRIMARY SCHOOL, NORTHERN BUILDING, VELLANGULI","1 - Vellankuli (R.V), Vellankuli(P), Block No 7 Vellankuli",Indian National Congress,All India Anna Dravida Munnetra Kazhagam,11,2.842377260981912
211,"COMMITTEE PRIMARY SCHOOL, EASTERN BUILDING SOUTHERN PORTION, GIRIAMMALPURAM","1 - Harikesavanallur (R.V),Harikesavanallur (P), Block No 6 Thoppu Street",All India Anna Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,13,2.6
216,"BARATHIYAR GOVT.HR.SEC. SCHOOL, ROOM NO.8 EAST BUILDING, NORTH BLOCK, WEST PORTION, VEERAVANALLUR","1 - Veeravanallur (P), Ward No 2 Thambiran Colony South Street",Indian National Congress,All India Anna Dravida Munnetra Kazhagam,31,5.0
