Serial No. Of Polling Station,Locality,Building in Which it will be Located,Polling Area,Winner_Party,Margin_Percentage
189,Chatram  street,"S.A.V.  Hr.  Sec.  School,  Centenary  Hall,  3rd room  from  West,  Chatram  Street","1.Thoothukudi  Corporation  Nammalwar  street  -  Ward  15  ,  2.Thoothukudi Corporation  Chathram  Street  -  Ward  15  ,  999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,23.07692307692308
190,Chatram  street,"S.A.V.  Hr.  Sec.  School,  West  Building,  3rd room  from  South  (STD  XI  B),  Chatram  Street","1.Thoothukudi  Corporation  Pandurangan  street  -  Ward  15  , 2.Thoothukudi  Corporation  Sarankapani  Street  -  Ward  15  , 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,19.85611510791367
191,Chatram  street,"S.A.V.  Hr.  Sec.  School,  West  Building,  4th room  from  South  (STD  XII  C),  Chatram
Street","1.Thoothukudi  Corporation  Rajamannar  street  -  Ward  15  ,  2.Thoothukudi Corporation  Keelarathaveethi  Extension  -  Ward  15  ,  999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,19.95841995841996
192,Chatram  street,"S.A.V.  Hr.  Sec.  School,  West  Building,  5th room  from  South  (STD  XII  D),  Chatram
Street","1.Thoothukudi  Corporation  Andal  Street  -  Ward  15  ,  2.Thoothukudi Corporation  Kathiresan  Koil  Street  -  Ward  15  ,  999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,19.6
194,Renganathapuram,"C.M.  Hr  Sec.  School,  South  Building,  East portion,  Renganathapuram","1.Thoothukudi  Corporation  Pathirakaliamman  Koil  Street  -  Ward  25  ,  , 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,23.04283604135894
195,Renganathapuram,"C.M.  Primary  School,  North  Building,  West Portion,  Renganathapuram","1.Thoothukudi  Corporation  Renganathapuram  West  -  Ward  25  , 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,27.9236276849642
196,Melarathaveethi,"Victoria  Girls  Hr.  Sec  School,  South  building, 1st  room  from  East,  (STD  VII  D),  Mela  Ratha Veethi,  Thoothukudi","1.Thoothukudi  Corporation  Vadakku  Ratha  Veethi  -  Ward  25  , 999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,20.92555331991952
198,Melarathaveethi,"Victoria  Girls  Hr.  Sec  School,  South  building, 3rd  room  from  East,  (STD  VIII  C),  Mela  Ratha Veethi,  Thoothukudi","1.Thoothukudi  Corporation  Keelaratha  veethi  -  Ward  26  ,  2.Thoothukudi Corporation  Perumal  Koil  Street  -  Ward  26  ,  3.Thoothukudi  Corporation Vadakku  Sambanthamoorthy  Street  -  Ward  26  ,  4.Thoothukudi Corporation  Mela  Peria  Cotton  Road  -  Ward  25  ,  999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,20.83333333333334
202,T.R.  Naidu  Street,"C.M.  High  School,  Main  Building  4th  room from  East  (STD  IX  B),  T.R.  Naidu  Street,
Thoothukudi","1.Thoothukudi  Corporation  Ganagasabapathi  Street  -  Ward  26  , 2.Thoothukudi  Corporation  Theppakulam  Street  -  Ward  26  ,
3.Thoothukudi  Corporation  Theppakulam  2nd  Sandhu  -  Ward  26  , 4.Thoothukudi  Corporation  Sivan  Koil  Sandhu  -  Ward  26  ,
999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,11.2565445026178
242,Gin  Factory  Road,"Anganvadi  Centre  (Centre  No.  56  - Corporation  Middle  School  campus),  Gin Factory  Road,  Thoothukudi","1.Thoothukudi  Corporation  Balavinayagar  Koil  Street  -  ward  40  ,
2.Thoothukudi  Corporation  Avudaiarpuram  -  ward  40  ,  3.Thoothukudi Corporation  Gibsonpuram  -  ward  25  ,  4.Thoothukudi  Corporation
Palayamkottai  Road  -  ward  40  ,  999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,21.61016949152543
