Polling_Station_No,location_clean,polling areas,Winner_Party,Runner_Up_Party,Margin_Of_Victory,Margin_Percentage
119,Tiruparankundram-625005,"1.Madurai (C) Thirupparankundram (TP) Sannasi Kinatru Street Ward 97,
2.Madurai (C) Thirupparankundram (TP) Thirumathil Lane Ward 97,
3.Madurai (C) Thirupparankundram (TP) Kottai Street Ward 97,",tamilaga vettri kazhagam,dravida munnetra kazhagam,1,0.1930501930501931
128,Tiruparankundram -625005,"1.Madurai (C) Thirupparankundram (TP) Kuttaiyya Pillai Street Ward 98,
2.Madurai (C) Thirupparankundram (TP) Veerana Thevar Lane Ward 98,
3.Madurai (C) Thirupparankundram (TP) Sokkalingam Pillai Street Ward 98,
4.Madurai (C) Thirupparankundram (TP) Kalia Thevar Lane Ward 98,
5.Madurai (C) Thirupparankundram (TP) Samy Naicker Lane Ward 98,
6.Madurai (C) Thirupparankundram (TP) Thampuran Lane Ward 98,
7.Madurai (C) Thirupparankundram (TP) Lakshmanan Servai Lane Ward 98,
8.Madurai (C) Thirupparankundram (TP) Keela Ratha Veethi Ward 98,
9.Madurai (C) Thirupparankundram (TP) Sannathi Street Ward 98",tamilaga vettri kazhagam,dravida munnetra kazhagam,31,4.776579352850539
136,Thiruparankundram-625005,"1.Madurai (C) Thirupparankundram (TP) Vadarmadasanthu Ward 98,
2.Madurai (C) Thirupparankundram (TP) Kallar Street Ward 98,
3.Madurai (C) Thirupparankundram (TP) Devamar Street Ward 98,
4.Madurai (C) Thirupparankundram (TP) Asarimar Street Ward 98,
5.Madurai (C) Thirupparankundram (TP) Pambaiyan Street Ward 98,
6.Madurai (C) Thirupparankundram (TP) Pambai Maniyan Street Ward 98,
7.Madurai (C) Thirupparankundram (TP) Kasimaniyam Street Ward 98,
8.Madurai (C) Thirupparankundram (TP) Mayilappan Poosari Street Ward 98,
9.Madurai (C) Thirupparankundram (TP) Pambalamman Koil Street Ward 98,
10.Madurai (C) Thirupparankundram (TP) West Car Street Ward 98,
11.Madurai (C) Thirupparankundram (TP) North Car Street Ward 98
12.Madurai (C) Thirupparankundram (TP) Sannathi Street Ward 99,",dravida munnetra kazhagam,dravida munnetra kazhagam,0,0.0
160,Koothiyarkundu-625008,"1.Nilaiyur Bit1 (TP) Kuthiyarkundu (P) Kottai Street,",dravida munnetra kazhagam,tamilaga vettri kazhagam,4,0.7326007326007326
161,Karuvelampatti -625008,"1.Nilaiyur (R.V) Karuvelampatti (P) Karuvelampatti Ward 1,",dravida munnetra kazhagam,tamilaga vettri kazhagam,17,2.098765432098765
164,Soorakulam-625008,"1.Soorakulam (P) Puthukulam III Ward 2, 2.Soorakulam (P) Puthukulam Ward 3,",tamilaga vettri kazhagam,dravida munnetra kazhagam,11,2.095238095238095
230,Avaniapuram-625012,"1.Madurai (C) Avaniapuram (TP) Sevantheswaran Kovil Ward 100, 2.Madurai(C) Avaniapuram (TP) Poochi 1st Street Ward 100,
3.Madurai (C) Avaniapuram (TP) Poochi 2nd Street Ward 100,
4.Madurai (C) Avaniapuram (TP) Manthai Vannan Street Ward 100,
5.Madurai (C) Avaniapuram (TP) VelayI Amman Street Ward 100, 6.Madurai(C) Avaniapuram (TP) Poosar Andi Street Ward 100,
7.Madurai (C) Avaniapuram (TP) Amman Kondadi Street Ward 100,
8.Madurai (C) Avaniapuram (TP) Andi Street Ward 100,
9.Madurai (C) Avaniapuram (TP) Ponnusamy Street Ward 100,",tamilaga vettri kazhagam,dravida munnetra kazhagam,4,0.5221932114882507
237,Avaniapuram-625012,"1.Madurai (C) Avaniyapuram (Tp) Nadar South Street Ward 100,
2.Madurai (C) Avaniyapuram (Tp) Arujunan Nadar Lane Ward 100,
3.Madurai (C) Avaniyapuram (Tp) Nadar North Street Ward 100,
4.Madurai (C) Avaniyapuram (Tp) Pinnakkonari Chetti Lane Ward 100,
5.Madurai (C) Avaniyapuram (Tp) Edumba Nadar Lane Ward 100,
6.Madurai (C) Avaniyapuram (Tp) Pambaiyan Ambalam Street Ward 100
7.Madurai (C) Avaniyapuram (Tp) Kallar Street Ward 100,
8.Madurai (C) Avaniyapuram (Tp) Muthukumar Servai Street Ward 100,
9.Madurai (C) Avaniyapuram (Tp) Chokkalingam Ambalam Street Ward 100,
10.Madurai (C) Avaniyapuram (Tp) Kumar Chetti Lane Ward 100,
11.Madurai (C) Avaniyapuram (Tp) Paraiyar Street Ward 100
12.Madurai (C) Avaniyapuram (Tp) Avaniyapuram Main Road Ward 100",tamilaga vettri kazhagam,dravida munnetra kazhagam,25,3.078817733990148
244,Ayanpappakdui - 625012,"1.Madurai (C) Avaniapuram (TP) Mela Pudu Street Ward 100 ,
2.Madurai (C) Avaniapuram (TP) Samiyar Kinatru Lane Ward 100,
3.Madurai (C) Avaniapuram (TP) Poosari Udaiyar Lane Ward 100,
4.Madurai (C) Avaniapuram (TP) Vellachi Lane Ward100,
5.Madurai (C) Avaniapuram (TP) Thikai Kanthan Lane Ward 100,
6.Madurai (C) Avaniapuram (TP) Nedunchalai Avaniyapuram Ward 92,
7.Madurai (C) Avaniapuram (TP) Kanmaikarai Pathai Avaniyapuram Ward 100",dravida munnetra kazhagam,tamilaga vettri kazhagam,1,0.2127659574468085
253,Avaniyapuram-625012,"1.Madurai (C) Avaniapuram (Tp) Kannayi Street Ward 92,
2.Madurai (C) Avaniapuram (Tp) Vandari Konari Chetti Street Ward 92,
3.Madurai (C) Avaniapuram (Tp) Ponnammal Street Ward 92,
4.Madurai (C) Avaniapuram (Tp) Agrahara Back Side Lane Ward 92,
5.Madurai (C) Avaniapuram (Tp) Ottamarathu Lane Ward 92,
6.Madurai (C) Avaniapuram (Tp) Gurunathan Kovil Street Ward 92,
7.Madurai (C) Avaniapuram (Tp) Sankaranayar Street Ward 92,
8.Madurai (C) Avaniapuram (Tp) Kaveriya Pillai Lane Ward 92,
9.Madurai (C) Avaniapuram (Tp) Vannar Lane Ward 92,
10.Madurai (C) Avaniapuram (Tp) Edaiyar Lane Ward 92,
11.Madurai (C) Avaniapuram (Tp) Sadayappa Pillai Lane Ward 92
12.Madurai (C) Avaniapuram (Tp) Kantha Nayakkar Lane Konar Street Ward92,
13.Madurai (C) Avaniapuram (Tp) Kanaku Pillai Street Ward 92,
14.Madurai (C) Avaniapuram (Tp)) Kinatradi Lane Ward 92,
15.Madurai (C) Avaniapuram (Tp) Veerapillai Lane Ward 92,",tamilaga vettri kazhagam,dravida munnetra kazhagam,36,4.621309370988447
