Polling_Station_No,location_clean,Dominant_Party_In_Booth,Dominant_Party_Votes,Margin_Of_Victory
224,Mela Anuppanadi.-625009,tamilaga vettri kazhagam,276,107
225,Mela Anuppanadi.-625009,tamilaga vettri kazhagam,281,116
226,Mela Anuppanadi.-625009,tamilaga vettri kazhagam,317,179
227,Mela Anuppanadi-625009,tamilaga vettri kazhagam,322,188
228,Mela Anuppanadi-625009,tamilaga vettri kazhagam,371,194
229,Mela Anuppanadi-625012-625009,tamilaga vettri kazhagam,262,74
230,Mela Anuppanadi-625009,tamilaga vettri kazhagam,302,4
231,(Near Anuppanadi Bus Stand)-625009,tamilaga vettri kazhagam,259,120
232,Chinthamani-625009.,tamilaga vettri kazhagam,292,119
233,Chinthamani-625009.,tamilaga vettri kazhagam,291,62
234,Chinthamani Road -625009.,tamilaga vettri kazhagam,321,180
235,Chinthamani Road -625009.,tamilaga vettri kazhagam,288,48
236,North Facing Chinthamani-625009,dravida munnetra kazhagam,236,30
237,Chinthamani-625009,tamilaga vettri kazhagam,298,25
238,Chinthamani-625009,tamilaga vettri kazhagam,356,164
239,Chinthamani-625009.,tamilaga vettri kazhagam,188,48
240,Iravthanallur-625009,tamilaga vettri kazhagam,284,78
241,Iravthanallur-625009,tamilaga vettri kazhagam,278,48
242,Iravthanallur-625009,tamilaga vettri kazhagam,379,149
243,Iravathanallur.-625009,tamilaga vettri kazhagam,237,118
244,Iravathanallur.-625009,dravida munnetra kazhagam,173,1
245,Viraganoor.-625009,tamilaga vettri kazhagam,308,159
246,Viraganoor.-625009,tamilaga vettri kazhagam,244,81
247,Viraganoor-625009.,tamilaga vettri kazhagam,371,159
248,Viraganoor-625009.,tamilaga vettri kazhagam,438,199
249,Viraganoor.-625009,tamilaga vettri kazhagam,364,162
250,Southern Portion Viraganoor-625009,tamilaga vettri kazhagam,417,247
251,Puliyankulam.-625201,tamilaga vettri kazhagam,322,161
252,Puliyankulam-625201,tamilaga vettri kazhagam,411,194
253,Puliyankulam-625201,tamilaga vettri kazhagam,310,36
254,Silaiman-625201,tamilaga vettri kazhagam,295,115
255,Silaiman-625201,tamilaga vettri kazhagam,251,17
256,Silaiman-625201,tamilaga vettri kazhagam,365,171
257,Silaiman-625201,tamilaga vettri kazhagam,247,90
258,Silaiman-625201,tamilaga vettri kazhagam,175,67
259,East Side Panaiyur-625009,tamilaga vettri kazhagam,317,141
260,Panaiyur.-625009,tamilaga vettri kazhagam,409,157
261,Panaiyur-625009,tamilaga vettri kazhagam,335,38
262,Samanatham-625009,tamilaga vettri kazhagam,428,208
263,Samanatham-625009,tamilaga vettri kazhagam,339,54
264,Perumanendal-625012,tamilaga vettri kazhagam,340,107
265,Perumanendal-625012,tamilaga vettri kazhagam,518,272
266,Kusavankundu-625022,tamilaga vettri kazhagam,339,108
267,Kusavankundu-625022,tamilaga vettri kazhagam,366,206
268,Chinna Udaippu-625022.,tamilaga vettri kazhagam,431,263
269,Chinna Udaippu-625022,tamilaga vettri kazhagam,433,246
270,Transport Nagar Papanodai - 625022,tamilaga vettri kazhagam,341,155
271,Solankuruni- 625022,tamilaga vettri kazhagam,255,149
272,Solankuruni - 625022,tamilaga vettri kazhagam,321,221
273,"Parambupattii-
625022",tamilaga vettri kazhagam,325,154
274,"Parambupattii-
625022",tamilaga vettri kazhagam,465,284
275,Valayankulam-625022,tamilaga vettri kazhagam,330,178
276,"Valayankulam-
625022",tamilaga vettri kazhagam,354,192
277,Valayankulam-625022,tamilaga vettri kazhagam,388,214
278,"Centre Portion
Valayankulam-625022",tamilaga vettri kazhagam,479,292
279,"Valayankulam-
625022",tamilaga vettri kazhagam,448,281
280,Valayapatti-625022,tamilaga vettri kazhagam,404,252
281,Valayapatti - 625022,tamilaga vettri kazhagam,455,230
282,Near Gate. Periyaalangulam-625022,tamilaga vettri kazhagam,403,218
283,central building Periyaalangulam-625022,tamilaga vettri kazhagam,369,190
284,Othai Alangulam-625022,tamilaga vettri kazhagam,334,184
285,Kombadi -625022,tamilaga vettri kazhagam,200,59
286,Nedumadurai-625022,tamilaga vettri kazhagam,401,218
287,"Nedumadurai-
625022",tamilaga vettri kazhagam,425,188
288,Parapathi-625022,tamilaga vettri kazhagam,423,192
289,Parapathi-625022,tamilaga vettri kazhagam,466,310
290,Eliyarpathi-625022,tamilaga vettri kazhagam,368,19
291,Nallur-625022,tamilaga vettri kazhagam,374,76
292,Nallur-625022.,tamilaga vettri kazhagam,333,70
293,Virathanoor-625009,tamilaga vettri kazhagam,315,48
294,Virathanoor-625009.,tamilaga vettri kazhagam,495,295
295,Nedunkulam-625009.,tamilaga vettri kazhagam,360,90
