Polling_Station_No,location_clean,total of valid votes,Total_Independent_Votes,Winner_Party,Margin_Of_Victory,Independent_Vote_Share_%,Is_Spoiler_Risk
79,"Thirunagar-
625006",698,1,tamilaga vettri kazhagam,130,0.1432664756446991,No
184,Avaniapuram-625012.,698,1,tamilaga vettri kazhagam,98,0.1432664756446991,No
83,"Thirunagar-
625006",711,1,tamilaga vettri kazhagam,181,0.1406469760900141,No
63,Thirunagar-625006,715,1,tamilaga vettri kazhagam,99,0.1398601398601399,No
170,Muthu Nagar (Karpaga Nagar) Avaniyapuram-625012,721,1,tamilaga vettri kazhagam,142,0.1386962552011096,No
168,Avaniyapuram-625012,725,1,tamilaga vettri kazhagam,239,0.1379310344827586,No
113,Tiruparankundram -625005,733,1,tamilaga vettri kazhagam,117,0.1364256480218281,No
197,Centre Building Avaniapuram-625012,736,1,tamilaga vettri kazhagam,146,0.1358695652173913,No
186,Avaniapuram-625012.,738,1,tamilaga vettri kazhagam,88,0.1355013550135501,No
144,Perungudi-625022,740,1,tamilaga vettri kazhagam,88,0.1351351351351351,No
98,Thiruparankundram-625005,765,1,tamilaga vettri kazhagam,222,0.130718954248366,No
61,Vilacheri-625006,780,1,tamilaga vettri kazhagam,86,0.1282051282051282,No
256,Silaiman-625201,781,1,tamilaga vettri kazhagam,171,0.1280409731113956,No
213,East Portion Periyasamy Nagar Avaniyapuram-625012,782,1,tamilaga vettri kazhagam,274,0.1278772378516624,No
97,Room No.3 Thiruparankundram-625005,782,1,tamilaga vettri kazhagam,151,0.1278772378516624,No
264,Perumanendal-625012,783,1,tamilaga vettri kazhagam,107,0.1277139208173691,No
212,Avaniapuram.-625012,786,1,tamilaga vettri kazhagam,290,0.1272264631043257,No
115,Thiruparankundram-625005,792,1,tamilaga vettri kazhagam,24,0.1262626262626263,No
53,Thanakkankulam-625006,793,1,tamilaga vettri kazhagam,15,0.1261034047919294,No
136,Koothiyarkundu-625008,794,1,dravida munnetra kazhagam,0,0.1259445843828715,Yes
266,Kusavankundu-625022,799,1,tamilaga vettri kazhagam,108,0.1251564455569462,No
102,HM Room Thiruparankundram-625005,801,1,tamilaga vettri kazhagam,11,0.1248439450686642,No
100,Near Staff Room No.1 Thiruparankundram-625005,802,1,tamilaga vettri kazhagam,160,0.1246882793017456,No
137,Koothiyarkundu-625008,802,1,tamilaga vettri kazhagam,182,0.1246882793017456,No
237,Chinthamani-625009,812,1,tamilaga vettri kazhagam,25,0.1231527093596059,No
109,Tiruparankundram 625005,816,1,tamilaga vettri kazhagam,143,0.1225490196078431,No
133,Nilaiyur-625005,831,1,tamilaga vettri kazhagam,129,0.1203369434416366,No
150,Ayanpappakudi.-625012,840,1,tamilaga vettri kazhagam,329,0.1190476190476191,No
295,Nedunkulam-625009.,857,1,tamilaga vettri kazhagam,90,0.1166861143523921,No
223,Mela Anuppanadi.-625009,866,1,tamilaga vettri kazhagam,191,0.115473441108545,No
127,"(West)
Nilaiyur I Bit-625005",876,1,tamilaga vettri kazhagam,218,0.1141552511415525,No
72,West Building North Portion Thirunagar-625006,887,1,tamilaga vettri kazhagam,137,0.112739571589628,No
22,Nagamalai Pudukottai-625019.,893,1,dravida munnetra kazhagam,33,0.1119820828667413,No
159,(Near Avaniyapuram Out Post Police Station).-625012,905,1,tamilaga vettri kazhagam,60,0.1104972375690608,No
60,Vilacheri-625006,906,1,tamilaga vettri kazhagam,31,0.1103752759381898,No
290,Eliyarpathi-625022,913,1,tamilaga vettri kazhagam,19,0.1095290251916758,No
211,West Portion Periyasamy Nagar Avaniyapuram-625012,945,1,tamilaga vettri kazhagam,353,0.1058201058201058,No
46,Thanakkankulam-625006,949,1,tamilaga vettri kazhagam,47,0.1053740779768177,No
265,Perumanendal-625012,1007,1,tamilaga vettri kazhagam,272,0.09930486593843098,No
147,Northern Portion Perungudi-625022,847,0,tamilaga vettri kazhagam,84,0.0,No
267,Kusavankundu-625022,661,0,tamilaga vettri kazhagam,206,0.0,No
27,Nagamalai Pudukottai - 625019.,613,0,dravida munnetra kazhagam,51,0.0,No
25,Nagamalai Pudukottai-625019.,627,0,tamilaga vettri kazhagam,113,0.0,No
105,Tiruparankundram-625005,673,0,dravida munnetra kazhagam,30,0.0,No
112,Tiruparankundram -625005,728,0,tamilaga vettri kazhagam,252,0.0,No
106,Tiruparankundram -625005,636,0,tamilaga vettri kazhagam,29,0.0,No
20,Southern Side Nagamalai Pudukottai-625019.,549,0,tamilaga vettri kazhagam,126,0.0,No
135,"Nilaiyur-
625005",777,0,dravida munnetra kazhagam,47,0.0,No
275,Valayankulam-625022,688,0,tamilaga vettri kazhagam,178,0.0,No
146,Perungudi-625022,903,0,tamilaga vettri kazhagam,206,0.0,No
277,Valayankulam-625022,718,0,tamilaga vettri kazhagam,214,0.0,No
143,Western Portion Perungudi-625022,801,0,tamilaga vettri kazhagam,169,0.0,No
18,"Northern Portion Nagamalai
Pudukottai -625019.",569,0,tamilaga vettri kazhagam,75,0.0,No
16,Nagamalai Pudukottai.-625019,709,0,tamilaga vettri kazhagam,88,0.0,No
139,Koothiyarkundu-625008,730,0,tamilaga vettri kazhagam,137,0.0,No
