Polling_Station_No,location_clean,total of valid votes,Total_Independent_Votes,Winner_Party,Margin_Of_Victory,Independent_Vote_Share_%,Is_Spoiler_Risk
227,Avaniyapuram- 625012,602,1,tamilaga vettri kazhagam,188,0.1661129568106312,No
304,Puliyankulam -625201,603,1,dravida munnetra kazhagam,27,0.1658374792703151,No
205,Avaniapuram-625012,604,1,tamilaga vettri kazhagam,153,0.1655629139072848,No
226,Avaniyapuram -625012,621,1,tamilaga vettri kazhagam,179,0.1610305958132045,No
45,Thenpalanji-625021,631,1,dravida munnetra kazhagam,73,0.1584786053882726,No
78,(West Side) Thirunagar-625006,639,1,tamilaga vettri kazhagam,138,0.1564945226917058,No
221,Middle Building North Side Avaniyapuram-625012,640,1,tamilaga vettri kazhagam,178,0.15625,No
89,Thirunagar 625006,640,1,tamilaga vettri kazhagam,124,0.15625,No
121,MRCAS Manikam Ramaswami College of Arts & Science East Portion LH3 Room Tiruparankundram-625005,640,1,tamilaga vettri kazhagam,181,0.15625,No
251,625012,643,1,tamilaga vettri kazhagam,161,0.1555209953343701,No
111,East Building Northern Portion Thiruparankundram-625005,644,1,tamilaga vettri kazhagam,116,0.15527950310559,No
176,625012,648,1,tamilaga vettri kazhagam,114,0.154320987654321,No
138,Harveypatti-625005,654,1,tamilaga vettri kazhagam,82,0.1529051987767584,No
59,Thanakkankulam-625006,654,1,tamilaga vettri kazhagam,59,0.1529051987767584,No
12,Karadipatti -625019,663,1,tamilaga vettri kazhagam,31,0.1508295625942685,No
276,Mela Anuppanadi -625009,675,1,tamilaga vettri kazhagam,192,0.1481481481481481,No
311,"10 B Class
Room Silaiman-625201",678,1,tamilaga vettri kazhagam,84,0.1474926253687316,No
206,Avaniapuram -625012,680,1,tamilaga vettri kazhagam,94,0.1470588235294118,No
210,Avaniapuram-625012,681,1,tamilaga vettri kazhagam,246,0.1468428781204112,No
110,Thiruparankundram-625005,681,1,tamilaga vettri kazhagam,105,0.1468428781204112,No
77,Thirunagar-625006,687,1,tamilaga vettri kazhagam,65,0.1455604075691412,No
184,"West Center Portion
Karpagam Nagar Avaniyapuram-625012",698,1,tamilaga vettri kazhagam,98,0.1432664756446991,No
79,Thirunagar-625006,698,1,tamilaga vettri kazhagam,130,0.1432664756446991,No
299,Viraganoor -625009,710,1,tamilaga vettri kazhagam,179,0.1408450704225352,No
83,West Building Middle Portion (North Side) Thirunagar-625006,711,1,tamilaga vettri kazhagam,181,0.1406469760900141,No
63,"Thiruvalluvar nagar
Thanakkankulam-625006",715,1,tamilaga vettri kazhagam,99,0.1398601398601399,No
170,Perungudi-625022,721,1,tamilaga vettri kazhagam,142,0.1386962552011096,No
168,"East Building North Portion
Perungudi -625022",725,1,tamilaga vettri kazhagam,239,0.1379310344827586,No
113,Thiruparankundram-625005,733,1,tamilaga vettri kazhagam,117,0.1364256480218281,No
197,"MMC Colony
Avaniyapuram-625012",736,1,tamilaga vettri kazhagam,146,0.1358695652173913,No
186,Villapuram -625012,738,1,tamilaga vettri kazhagam,88,0.1355013550135501,No
144,North Side,740,1,tamilaga vettri kazhagam,88,0.1351351351351351,No
350,Virathanoor-625009,751,1,tamilaga vettri kazhagam,97,0.1331557922769641,No
307,Silaiman 625201,754,1,tamilaga vettri kazhagam,62,0.1326259946949602,No
98,Thirunagar-625006,765,1,tamilaga vettri kazhagam,222,0.130718954248366,No
61,Thanakkankulam-625006,780,1,tamilaga vettri kazhagam,86,0.1282051282051282,No
256,Madurai-625012,781,1,tamilaga vettri kazhagam,171,0.1280409731113956,No
97,Thirunagar-625006,782,1,tamilaga vettri kazhagam,151,0.1278772378516624,No
213,"Avaniapuram-
625012",782,1,tamilaga vettri kazhagam,274,0.1278772378516624,No
264,625009,783,1,tamilaga vettri kazhagam,107,0.1277139208173691,No
212,Avaniapuram- 625012,786,1,tamilaga vettri kazhagam,290,0.1272264631043257,No
115,Near Staff Room No 1 Thiruparankundram-625005,792,1,tamilaga vettri kazhagam,24,0.1262626262626263,No
53,Thanakkankulam-625006,793,1,tamilaga vettri kazhagam,15,0.1261034047919294,No
136,Thiruparankundram-625005,794,1,dravida munnetra kazhagam,0,0.1259445843828715,Yes
266,Chinthamani Road -625009,799,1,tamilaga vettri kazhagam,108,0.1251564455569462,No
102,Near H M Room Pasumalai-625004,801,1,tamilaga vettri kazhagam,11,0.1248439450686642,No
137,Harveypatti-625005,802,1,tamilaga vettri kazhagam,182,0.1246882793017456,No
100,Western Portion Thiyagarajar colony-625004,802,1,tamilaga vettri kazhagam,160,0.1246882793017456,No
237,Avaniapuram-625012,812,1,tamilaga vettri kazhagam,25,0.1231527093596059,No
109,Thiruparankundram-625005,816,1,tamilaga vettri kazhagam,143,0.1225490196078431,No
133,Tiruparankundram -625005,831,1,tamilaga vettri kazhagam,129,0.1203369434416366,No
150,"Nilaiyur-
625005",840,1,tamilaga vettri kazhagam,329,0.1190476190476191,No
295,Iravathanallur - 625009,857,1,tamilaga vettri kazhagam,90,0.1166861143523921,No
223,Avaniapuram-625012,866,1,tamilaga vettri kazhagam,191,0.115473441108545,No
127,Tiruparankundram 625005,876,1,tamilaga vettri kazhagam,218,0.1141552511415525,No
72,625006,887,1,tamilaga vettri kazhagam,137,0.112739571589628,No
22,Nagamalai Pudukottai -625019,893,1,dravida munnetra kazhagam,33,0.1119820828667413,No
159,"Southern
Portion Koothiyarkundu-625008",905,1,tamilaga vettri kazhagam,60,0.1104972375690608,No
60,Thanakkankulam-625006,906,1,tamilaga vettri kazhagam,31,0.1103752759381898,No
290,Chinthamani-625009,913,1,tamilaga vettri kazhagam,19,0.1095290251916758,No
211,"(North) Avaniapuram-
625012",945,1,tamilaga vettri kazhagam,353,0.1058201058201058,No
46,Thoppur-625008,949,1,tamilaga vettri kazhagam,47,0.1053740779768177,No
