Serial No. Of Polling Station,Location and Name of Building in which Polling Station Located,Polling Area,Winner_Party,Winner_Votes,Runner_Up_Votes,Margin_Percentage
123,"Municipality Middle School,West
building, East facing, South side,Thaikka street,Kayalpattinam","1.Kayalpattinam(Municipality) Koman pudur ward 18,
2.Kayalpattinam(Municipality) Gurusadi (DCW Quarters) Ward 18, 999.OVERSEAS ELECTORS",Bharatiya Janata Party,149,131,4.477611940298507
124,"Municipality Middle School, East
Building South portion, Thaikka street, kayalpattinam.","1.Kayalpattinam(Municipality) Sethu raja street ward 18, 999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,203,135,15.419501133786847
125,"Municipality Middle School,Eastern
Building, North Side, Thaikka street, kayalpattinam","1.Kayalpattinam(Municipality) Mangalvinayagar kovil street ward
15, 2.Kayalpattinam(Municipality) Uchimagaliamman kovil street ward 15, Door No 1 to 36 999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,258,160,16.14497528830313
126,"Municipality Middle School, North
Building West Side, Ground Floor, Thaikka Street, Kayalpattanam","1.Kayalpattinam(Municipality) Uchimagaliamman kovil street ward 15, Door No 37 to 199, 999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,218,187,5.098684210526316
159,Municipality Primary School Middle Building West Side South Facing Theevu Street Kayalpattanam,"1.Kayalpattanam (Municipality) Maruthum Alauddin Thottam Ward
13, 2.kayalpattinam (Municipality) Vannakkudistreet ward 13, 3. kayalpattinam (Municipality) Veera sadaichi ammankovil street ward 13, 999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,181,133,11.347517730496454
163,"Municipality Middle School, West Building East Portion, Odakarai, kayalpattinam.","1.kayalpattinam (Municipality) Odaikarai north street ward 12,
2.kayalpattinam (Municipality) Vandimalachiammankovilstreet ward 12, 3.kayalpattinam (Municipality) Vaneyakudi street ward 12, 999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,186,168,3.536345776031434
164,Municipality Middle School West Building Odakkarai Kayalpattanam,"1.kayalpattinam (Municipality) Kadipichaithottam(rajakovil street
)ward 12, 2.kayalpattinam (Municipality) Poonthottam ward 12,
3.kayalpattinam (Municipality) PuduSouthvadi (thaikkapuram ) Ward 12, 999.OVERSEAS ELECTORS",Tamilaga Vettri Kazhagam,224,195,4.931972789115646
165,"Municipality Middle School, West
Building East Facing, Odakarai, kayalpattinam.","1.Kayalpatanam (Municipality.) Odakkarai ward 12, 999.OVERSEAS ELECTORS",Bharatiya Janata Party,165,148,3.6717062634989204
175,"Punitha Susai Primary School(Study
Hall Western wing)Southern Portion,
Adaikkalapuram, Veerapandiyanpattanam.","1.Veerapandianpattinam (R.V), Veerapandianpattinam Rural (P)
Adaikkalapuram, Thomaiyar Street Block, 2.Veerapandianpattinam
(R.V), Veerapandianpattinam Rural (P) Soosai Aranilaiyam Block 2, 999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,147,99,14.678899082568808
177,"T.N.D.T.A Middle Scholl, Sonanganvillai","1.kannam(T.P) Kurathanvillai Waed2, 2.Kannam(T.P) Theeri Vadali
Neelpuram Ward3, 3.Kannam (T.P) Sonaganvillai North Ward4,
4.Kannam(T.P) Sonaganvillai South Ward5, 5.Kannam(T.P) Moolaipoli Ward5, , 999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,271,267,0.5633802816901409
