Location and Name of Building in Which Polling Station Located,Total_Valid_Votes_In_Locality,Total_Independent_Votes_In_Locality,Independent_Vote_Share_%
"Flowrence sweinson Deaf and Dum High School, South building middle portion, Thiruvanandapuram Road, Kulavanigarpuram,",642,6,0.9345794392523363
"Corporation Primary School, ,North Portion 1st Room, Kailasapuram.",752,7,0.9308510638297872
"Rosemary Matriculation Higher Secondary School, , East Portion, Forth Room Tuticorin Road, V.M.Chatram.",646,6,0.9287925696594427
"Nehru Primary School, Western Portion Basheerappa North street Melapalayam",754,7,0.9283819628647214
"Matharasa Ishlamiya Primary School, ,Main Building, North Block, Kailasapuram.",218,2,0.9174311926605505
"Muslim Higher Secondary School, ,North Block, Additional New Building, West Part West Portion, Nethaji Road, Kurichi, Melapalayam",768,7,0.9114583333333334
"Corporation Primary School , South to North, 6th Entrance Western Portion, Perumalpuram",563,5,0.8880994671403196
"St Johns Higher Secondary School, PTA Room No 51 Palayamkottai",695,6,0.8633093525179856
"Nellaiappar Anbu Asiramam Primary School
, Dining Hall,Maharaja Nagar",470,4,0.851063829787234
"Muslim Higher Secondary School, North Block Additional New Building, West Part West Portion 2nd Room Nethaji Road, Kurichi.",595,5,0.8403361344537815
"St. Thomas High School ,Central Block, Eastern Portion, section XA Kulavanigarpuram Main Road, Kurichi.",596,5,0.8389261744966443
"Corporation Vaddakkupadai Intergrated Children Development Scheme Balar School, Easten Portion, Eyarpagainayanar Street, Palayamkottai",602,5,0.8305647840531563
"M.D.T.Hindu College Hr.Sec.School, West Building 3rd Room From North Tirunelveli. Junction",484,4,0.8264462809917356
"Periya Kothuba PalliVasal Women Arabic Matharasa, Periya Kothuba Pallivasal Middle portion North West Street, Melapalayam",485,4,0.8247422680412372
"St Johns Higher Secondary School, PTA Room No 50 Palayamkottai",614,5,0.8143322475570033
"Rose Mary Marticulation School ,1std ‘A’ Section ,Ram Nagar, Thiyagarajanagar",369,3,0.8130081300813009
"Corporation Primary School ,South to North, 5th Entrance, Perumalpuram",492,4,0.8130081300813009
"The Muslim Girls Hr.Sec.School, South Building 2nd room, M L M Nagar,Melapalayam.",626,5,0.7987220447284344
"Muslim Hr.sec. School ,South Block East Part Room No: 5,Nethaji Road Kurichi Melapalayam",640,5,0.78125
"Corporation New Middle School, East Building,South Portion, Salai Street, Vannarpettai.",641,5,0.7800312012480499
"St.Joseph Primary School , western Wing,IIIrd A Class Room Near R.T.O Office
N.G.O.B Colony, Palayamkottai",644,5,0.7763975155279503
"Panchayat Union Primary School, New Building Western Portion West side V.M.Chathram",521,4,0.7677543186180422
"Corporation Azath Primary School,
,Southern Block FirstRoom Police Station Road Melapalayam",655,5,0.7633587786259541
"Francis Xavier School (CBSE), west Building, Ground floor, Middle Portion, Barani Nagar
,Vannarpettai, Ward No.10.",530,4,0.7547169811320755
"Adi Diravidar Primary School, ,Newbuilding West Portion, East Part Ambikapuram Melapalayam",675,5,0.7407407407407408
"St Antonys Primary School ,Main Building, Main Hall, South Side, Palayamkottai",678,5,0.7374631268436578
"Corporation Primary School, ,North Bulding West Portion Nethaji Road Kurichi, Melapalayam",702,5,0.7122507122507122
"Flowrence sweinson Deaf and Dum High School ,Auditorium Hall North Portion Western Side, Thiruvanandapuram Road, Kulavanigarpuram,",563,4,0.7104795737122558
"South Mohideen Jamath Primary School, Eastern Portion, I Std Calss Room ,South Mohideen Pallivasal Street, Melapalayam",706,5,0.708215297450425
