Serial No. Of Polling Station,Locality,Building in Which it will be Located,Polling Area,Margin_Percentage
294,Vijayapuri,"Panchayat  Union  Primary  School,  East  Side Vijayapuri","1.Kodukkamparai  (R.V)  And(p)  Kodukkamparai  ,  2.Kodukkamparai  (R.V) And  (P)  Vijaiyapuri  ,  999.OVERSEAS  ELECTORS",13.89793702497286
299,A.Karisalkulam,"Community  Hall,  A.Karisalkulam","1.Sivanthipatti  (R.V)  And(P)  Karisalkulam  Block  3  ,  2.Sivanthipatti  (R.V) And(P)  Karisalkulam  Block  4  ,  999.OVERSEAS  ELECTORS",14.88277268093782
81,Pudukottai,"Panchyat  Union  Primary  School  , Pudukottai.","1.Kayathar  (F.G.T.P)  Ward  12  Pudhukottai  ,  999.OVERSEAS  ELECTORS",15.58823529411765
184,Therku Thittankulam,"Adi  Dravidar  Primary  School,  West  Building Therku  Thittankulam","1.Souththittankulam(R.V)  And  (P)  South  street  block  3  , 2.SouthThittankulam  Street  (R.V)  And  (P)  Mela  Street  Block  3  , 999.OVERSEAS  ELECTORS",16.41025641025641
49,Vadakku llanthaikulam,"Panchayat  Union  Primary  School  ,  North Side  ,  Vadakku  llanthaikulam.","1.Vadakku  elanthaikulam  (p)  Block  1  ,  2.Vadakku  Elanthaikulam  (P) Block  2  ,  999.OVERSEAS  ELECTORS",20.44917257683215
44,Thirumangalakuruc hi,"Adi-Dravidar  Welfare  High  School,  South side  building  ,  Thirumangalakurichi.","1.Thirumangalakurichi  (R.V)  And  (P)  Pillaiar  kovil  North  street  Block  1  , 2.Thirumangalakurichi  (R.V)  And  (P)  North  Street  Block  2  ,
3.Thirumangalakurichi  (R.V)  And  (P)  South  Street  Block  2  ,
999.OVERSEAS  ELECTORS",20.68965517241379
293,Pandavarmangalam Kovilpatti,Panchayat  Office  Pandavarmangalam,"1.Pandavarmangalam  (R.V)  And  (P)  Kilapandavarmangalam  Block  4  , 999.OVERSEAS  ELECTORS",24.16851441241685
46,Olaikulam,"Panchayat  Union  Primary  School  ,Olaikulam.","1.Thirumangalakurichi  (R.V)  And  (P)  Kanganakineru  Block  6  ,
2.Thirumangalakurichi  (R.V)  And  (P)  Olaikulam  (North  side)  Block  7  , 3.Thirumangalakurichi  (R.V)  And  (P)  Olaikulam  (South  side)  Block  8  , 999.OVERSEAS  ELECTORS",25.79957356076759
48,Vellalankottai,"R.C.Middle  School,  South  Side  , Vellalankottai.","1.Vellalankottai  (R.V)  And  (P)  Suriyaminukkan  Middle  street  Block  5  , 2.Vellalankottai  (R.V)  And  (P)  Suriyamenukkan  South  Street  Block  6  , 3.Vellalankottai  (R.V)  And  (P)  Maruthappapuram  Block  7  ,  4.Vellalan kottai  (R.V)  And  (P)  Valasalpatti  Block  8  ,  999.OVERSEAS  ELECTORS",28.22580645161291
68,Thalaiyal-nadantha nkulam,"T.D.T.A.  Primary  School  , Thalaiyalnadanthankulam.","1.Therkumayelodai  (R.V)  And  (P)  Thalaial  nadanthankulam  Block  4  , 2.Therkumayelodai  (R.V)  And  (P)  Thalaial  Nadanthankulam  Block  5  , 999.OVERSEAS  ELECTORS",33.14447592067989
