serial no. of polling station,location_clean,building_clean,polling areas,Winner_Party,Margin_Percentage
64,Pethaniyapuram-625016,"Corporation Elementary School   ,West Side Building, 3rd room, East facing","1.Madurai (C) Pillaiyar Kovil Street Ward 64 ,
2.Madurai (C) Kalaimathi Street Ward 64 ,",tamilaga vettri kazhagam,12.88343558282209
71,1st room North Facing Arappalayam-625017,"Fatima Middle School Arappalayam, south Side building","1.Madurai (C) Pallikuda Cross Street Ward 63 ,
2.Madurai (C) Jeeva Street Ward 64 ,
3.Madurai (C) Gandhi Veedhi Ward 64",tamilaga vettri kazhagam,15.74675324675325
73,madurai-625016,"O.P.Reddy Elementary School, East side Building, West Facing
1st room, Pethaniyapuram","1.Madurai (C) Anna Main Street Ward 64 ,
2.Madurai (C) Pastin Nagar 1st Street Pethaniyapuram Ward 65",tamilaga vettri kazhagam,14.68428781204112
76,Pethaniyapuram-625016,"St.Mary of Lucca Matric Higher Secondary School,East side Building 6th Room","1.Madurai (C) Indirani Nagar Mudakusalai Ward 65 ,
2.Madurai (C) Thiruvalluvar Street 64 ,
3.Madurai (C) Kamachi Amman 1st Street Ward 63 ,
4.Madurai (C) Kamatchi Amman 2nd Street 63",tamilaga vettri kazhagam,13.21243523316062
79,madurai-625016,"O.P.Reddy Elementary School, East side Building, West Facing 3rd room, Pethaniyapuram","1.Madurai (C) E B Colony Ward 63 ,
2.Madurai (C) Devi Karumari Amman Kovil Street Ward 65 ,
3.Madurai (C) Ayyanar Kovil Street Ward 63 ,
4.Madurai (C) Adisan Street Pethaniyapuram Ward 66 ,",tamilaga vettri kazhagam,13.22751322751323
83,Bastin Nagar Madurai-625016,"St.Mary of Lueca Matric Hr. Sec. School   ,East Building 5th Room South Side","1.Madurai (C) V.O.C. Nagar 4th Street Ward 63 ,
2.Madurai (C) V.O.C Nagar 5th Street Ward 63 ,
3.Madurai (C) V.O.C. Nagar 6th Street Ward 63 ,
4.Madurai (C) Theni Main Road Ward 63 ,
5.Madurai (C) P P Chavadi Ward 63 ,
6.Madurai(C) Kaliamman Kovil Pallavan Nagar Ward 64 ,
7.Madurai (C) Ponnaiah Nagar Ward 66 ,
8.Madurai (C) Ganeshapuram Ward 66",tamilaga vettri kazhagam,23.60594795539033
89,Madurai - 625016,"St. john Matric school, north side building IV-B Class Room,
South facing, Kochadai","1 - Madurai (C), Melakal Main Road Ward 66 (from door no. 1 to door no.342)",tamilaga vettri kazhagam,10.50656660412758
118,Madurai - 625016,"St. john matric school, East side building UKG-C Class Room,
West facing, Kochadai","1.Madurai (c) Muthaiah Kovil 1st Street Ward 66 ,
2.Madurai (C) Muthaiah Kovil 2nd Street Ward 66",tamilaga vettri kazhagam,19.28306551297899
123,Madurai - 625016,"St. john Matric school, north side building IV-A Class Room,
South facing, Kochadai",1.Madurai (C) Melakkal Main Road R.P.B.Thottam Ward 66 2.Madurai (C) Melakkal Main Roa,tamilaga vettri kazhagam,15.30460624071323
132,North Portion  West Side Pethaniyapuram-625016,Royal Public Matric School,"1.Madurai (C) Muniyandi Kovil Street Ward 64 ,
2.Madurai (C) Bhagavath Singh Street Ward 64 ,
3.Madurai (C) Ezhil Veethi Ward 64 ,
4.Madurai (C) Boomariyamman Kovil Street  Ward 64",tamilaga vettri kazhagam,11.04536489151874
